,centroids_id,number,sse
0,0,3,1.9999999999999996
1,1,7,0.5411998251615052
2,2,8,3.8009088341877098
3,3,1,0.0
4,4,3,0.8952503069410407
5,5,9,4.48038212180385
6,6,11,7.745964733959344
7,7,2,0.8170825636054505
8,8,8,5.302130565114804
9,9,5,1.7614273887553944
10,10,3,0.5762219016639752
11,11,7,4.678329126116254
12,12,5,1.7689692167791935
13,13,4,2.379824388561369
14,14,6,3.6894834596402166
15,15,1,0.0
16,16,5,2.064875890480074
17,17,6,3.119915008410356
18,18,4,2.3871285786753784
19,19,6,2.3252546657228024
20,20,2,0.5194664227987587
21,21,3,1.3732934396816772
22,22,3,1.524614590469993
23,23,2,0.6905372133244652
24,24,10,7.102469294939858
25,25,4,2.2786939548323044
26,26,4,1.273646539885167
27,27,3,1.0121851675475368
28,28,4,2.48959610580586
29,29,2,0.8478368228066124
30,30,3,1.2823795791999442
31,31,2,0.3604788778636472
32,32,2,0.3515918940899533
33,33,2,0.6878422105236668
34,34,3,1.266059784980262
35,35,1,0.0
36,36,3,0.8942348904039428
37,37,3,1.4492723847703106
38,38,4,2.425415512594092
39,39,3,0.5483797941585382
40,40,4,2.1369695075642063
41,41,1,0.0
42,42,2,0.587971645891475
43,43,7,3.4711520708047483
44,44,6,3.812506310358253
45,45,2,0.6709248751858059
46,46,3,0.823354903247036
47,47,5,3.2018758497849733
48,48,1,0.0
49,49,1,0.0
50,50,1,0.0
51,51,4,2.0288556423587045
52,52,4,2.134691285097721
53,53,1,0.0
54,54,3,1.6261768719375287
55,55,2,0.2947178184257223
56,56,3,0.8792229879955951
57,57,1,0.0
58,58,2,0.6237608108584461
59,59,1,0.0
60,60,2,0.6968817274931179
61,61,2,0.6084487272083442
62,62,3,1.5331939032299549
63,63,1,0.0
64,64,2,0.7102476204512959
65,65,1,0.0
66,66,3,1.4716912536887201
