Account name,แชทบอทสถาบันการศึกษา
Time zone,'+09:00
Downloaded on,2021/08/23 17:41
Sender type,Sender name,Date,Time,Message
Account,Auto-response,2021/07/26,21:06:24,"สวัสดี คุณ Kao, Kos?(hello)
ขอบคุณที่เป็นเพื่อนกับ แชทบอทสถาบันการศึกษา

หากไม่ต้องการรับข้อความจากบัญชีทางการนี้ โปรดแตะปุ่มเมนูที่มุมขวาบนของหน้าจอแล้วปิดการแจ้งเตือน"
User,"Kao, Kos?",2021/07/26,21:06:32,สวัสดีค่ะ
Account,Auto-response,2021/07/26,21:06:33,"ขอบคุณที่ส่งข้อความถึงเรา

ต้องขออภัยเป็นอย่างยิ่งที่บัญชีนี้ไม่สามารถตอบข้อความใดๆ ได้
โปรดรอรับข่าวสารใหม่ๆ จากเราผ่านช่องทางนี้(content)"
Account,Unknown,2021/07/26,21:06:34,สวัสดีจ้าา 
User,"Kao, Kos?",2021/07/26,21:06:47,เปิดเทอมวันไหนคะ
Account,Auto-response,2021/07/26,21:06:48,"ขอบคุณที่ส่งข้อความถึงเรา

ต้องขออภัยเป็นอย่างยิ่งที่บัญชีนี้ไม่สามารถตอบข้อความใดๆ ได้
โปรดรอรับข่าวสารใหม่ๆ จากเราผ่านช่องทางนี้(content)"
Account,Unknown,2021/07/26,21:06:48,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
User,"Kao, Kos?",2021/07/26,21:08:27,สวัสดีค่ะ
Account,Unknown,2021/07/26,21:08:29,สวัสดีจ้าา 
User,"Kao, Kos?",2021/07/26,21:29:39,ขอสอบถามเรื่องหอพักหน่อยค่ะ
Account,Unknown,2021/07/26,21:29:41,ค่าเทอมคณะวิทยาศาสตร์ทั้งหมด 18000 บาทครับ แต่ในช่วงโควิดค่าเทอมจะลดลง 20% และสามารถดูเพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/bachelor_fee.aspx
User,"Kao, Kos?",2021/07/26,21:29:49,ขอข้อมูลหอพักหน่อยค่ะ
Account,Unknown,2021/07/26,21:29:50,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf
User,"Kao, Kos?",2021/07/26,21:30:01,หอพักราคาเท่าไรคะ
Account,Unknown,2021/07/26,21:30:02,สามารถดูข้อมูลได้ตามลิงค์นี้เลยครับ https://dorm.psu.ac.th/system/
User,"Kao, Kos?",2021/07/27,02:55:05,สวัสดีค่ะ
Account,Unknown,2021/07/27,02:55:07,สวัสดีครับบบ
User,"Kao, Kos?",2021/07/27,02:55:12,จบไปทำอะไร
Account,Unknown,2021/07/27,02:55:14,"สายงานของสาขานี้ค่อนข้างกว้างครับ ที่รู้จักกันทั่วไป เช่น Developer, Programmer, software testing เป็นต้นครับ หรือสามารถไปดูตัวอย่างอื่นๆ ได้ตามลิ้งค์นี้เพิ่มเติมเลยครับ https://www.rasmussen.edu/degrees/technology/blog/computer-careers-for-tech-geeks/"
User,"Kao, Kos?",2021/07/27,02:56:04,สามารถจบไปทำงานอะไรได้บ้างคะ
Account,Unknown,2021/07/27,02:56:05,"สายงานของสาขานี้ค่อนข้างกว้างครับ ที่รู้จักกันทั่วไป เช่น Developer, Programmer, software testing เป็นต้นครับ หรือสามารถไปดูตัวอย่างอื่นๆ ได้ตามลิ้งค์นี้เพิ่มเติมเลยครับ https://www.rasmussen.edu/degrees/technology/blog/computer-careers-for-tech-geeks/"
User,"Kao, Kos?",2021/08/04,16:40:56,สวัสดีค่ะ
User,"Kao, Kos?",2021/08/04,16:41:47,สวัสดีค่ะ
Account,Unknown,2021/08/04,16:41:49,สวัสดีจ้าา 
User,"Kao, Kos?",2021/08/04,16:42:04,ขอสอบถามเกี่ยวกับหลักสูตรหน่อยค่ะ
Account,Unknown,2021/08/04,16:42:05,สามารถดูหลักสูตรระดับปริญาตรีได้ทางลิงค์นี้เลยครับ https://edumanual.psu.ac.th/document/2563/bsc/hdy_sci/sci-cur-com-63.pdf หรือ https://edumanual.psu.ac.th/2020/hdy_sci_bsc63/
User,"Kao, Kos?",2021/08/05,17:18:43,วันเปิดเทอม
Account,Unknown,2021/08/05,17:18:45,วันเปิดเทอมของปีการศึกษาที่ 1/2564 คือวันที่ 21 มิถุนายน 2564 ครับ สามารถดูวันอื่นๆ เพิ่มเติมได้ที่ https://reg.psu.ac.th/reg/calendar/PATITIN2564.pdf หรือ https://reg.psu.ac.th/reg/ ครับ
User,"Kao, Kos?",2021/08/05,17:32:43,น้ำตาจะไหล
Account,Unknown,2021/08/05,17:32:44,ฉันฟังไม่ทันค่ะ
